"product_id","sku","name","price","color","product_type","product_image"
"2030","N01P2001","Block Letter Pendant","1300.0000","Gold","Personalized Jewelry","//d1jbf5z8givhnm.cloudfront.net/media/catalog/product/b/l/block_letter_pendant_.jpg"
"2031","N01P2002","Cursive English Pendant","1300.0000","Gold","Personalized Jewelry","//d1jbf5z8givhnm.cloudfront.net/media/catalog/product/c/u/cursive_english_pendant_1.jpg"
"2032","N01P2003","Cursive Hindi Pendant","1300.0000","Gold","Personalized Jewelry","//d1jbf5z8givhnm.cloudfront.net/media/catalog/product/c/u/cursive_hindi_pendant_3.jpg"
"2033","N01P2004","Cut-Out Bar Pendant","1300.0000","Gold","Personalized Jewelry","//d1jbf5z8givhnm.cloudfront.net/media/catalog/product/c/u/cut-out_bar_pendant.jpg"
"2036","N01P2007","Heart-Lined Cursive Pendant","1350.0000","Gold","Personalized Jewelry","//d1jbf5z8givhnm.cloudfront.net/media/catalog/product/h/e/heart-lined_cursive_pendant.jpg"
"2037","N01P2008","Indi Script Pendant","1400.0000","Gold","Personalized Jewelry","//d1jbf5z8givhnm.cloudfront.net/media/catalog/product/i/n/indi_script_pendant_3_1.jpg"
"2038","N01P2009","Infinity Style Pendant","1400.0000","Gold","Personalized Jewelry","//d1jbf5z8givhnm.cloudfront.net/media/catalog/product/i/n/infinity_style_pendant_3.jpg"
"2039","N01P2010","Customizable Logo Pendant","1550.0000","Gold","Personalized Jewelry","//d1jbf5z8givhnm.cloudfront.net/media/catalog/product/c/u/customizable_logo_pendant_1.jpg"
"3039","JY/01/E01/027/15","Myrtle Gold Earrings","850.0000","Gold","Earrings","//d1jbf5z8givhnm.cloudfront.net/media/catalog/product/m/y/myrtle_gold_earrings_1.jpg"
"3041","JY/01/R01/029/15","Rivet Gold Ring","400.0000","Gold","Rings","//d1jbf5z8givhnm.cloudfront.net/media/catalog/product/r/i/rivet_gold_ring.jpg"
"3180","JY/03/E01/311/15","Glamshot Ear Jackets","600.0000","White","Earrings","//d1jbf5z8givhnm.cloudfront.net/media/catalog/product/g/l/glamshot_ear_jackets1.jpg"
